R,L,C,V
21,7.10E+01,41,1.598
91,6.10E+01,51,2.866
161,1.31E+02,171,3.58
251,1.91E+02,251,1.883
311,2.21E+02,291,1.54
381,2.81E+02,321,1.358
441,3.61E+02,351,1.17
371,1.81E+02,271,1.81
441,1.41E+02,181,3.334
311,2.41E+02,471,1.069
401,3.11E+02,341,1.294
770,8.10E+02,181,2.22
650,7.20E+02,181,2.238
860,6.30E+02,241,1.66
810,5.80E+02,321,1.294
690,4.71E+02,261,1.586
800,2.61E+02,291,1.5
840,3.41E+02,231,1.878
900,4.11E+02,321,1.362
840,4.51E+02,231,1.829
750,4.91E+02,181,2.334
780,4.41E+02,141,3.104
730,4.01E+02,381,1.102
750,4.41E+02,351,1.166
780,4.91E+02,321,1.291
810,5.20E+02,341,1.182
481,1.81E+02,191,2.938
540,2.31E+02,311,1.418
590,2.71E+02,291,1.505
680,3.11E+02,251,1.733
630,3.91E+02,181,2.44
501,5.01E+02,241,1.707
620,4.71E+02,311,1.382
680,5.20E+02,131,3.268
620,5.80E+02,181,2.399
550,9.20E+02,91,4.325
540,7.90E+02,131,4.348
520,7.70E+02,161,2.513
900,8.60E+02,121,3.326
780,3.81E+02,221,1.998
700,4.91E+02,101,4.338
600,5.30E+02,191,2.175
890,4.51E+02,301,1.377
151,4.61E+02,121,3.409
341,3.41E+02,171,2.658
401,2.31E+02,241,2.035
501,3.71E+02,131,3.464
620,4.51E+02,181,2.35
670,3.71E+02,451,1.059
331,1.41E+02,221,3.046
381,1.61E+02,291,1.77
401,2.31E+02,151,3.348
461,3.31E+02,191,2.301
271,5.90E+02,271,1.495
391,3.51E+02,251,1.81
910,1.61E+02,111,6.418
