Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
SSL,TCP,1,104.244.42.8,49981,443,55,0.0,1
TCP,TCP,1,192.168.42.164,443,49981,66,0.8246702049807728,1
DATA,TCP,1,2404:6800:4002:805::200e,56721,443,677,1.6479552436166498,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,56721,84,2.4699473245648904,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,56721,125,3.290627706073471,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,56721,80,4.109984382407406,1
DATA,TCP,1,2404:6800:4002:805::200e,56721,443,91,4.92802344851652,1
DATA,TCP,1,2404:6800:4003:c04::bc,49877,5228,75,5.740161462843272,1
TCP,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,5228,49877,86,6.554941714632214,1
TCP,TCP,1,2606:2800:147:120f:30c:1ba0:fc6:3001,49991,80,74,7.3625398980132175,1
TCP,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,80,49991,74,8.17406017301481,1
TCP,TCP,1,2606:2800:147:120f:30c:1ba0:fc6:3001,49991,80,74,8.984303242168757,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,873,9.79323162559598,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,84,10.600906227994146,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,11.407218842032465,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,12.212350214957501,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,13.016160600146126,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,13.818700502955094,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,14.608426306341798,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,15.395613632609614,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,16.193104800865115,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,16.98932366082838,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,17.770848776354242,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,18.563359889715517,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,19.35522931715541,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,20.14584263942324,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,20.935225565677964,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,21.70631077730937,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,22.492542004313478,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,23.277510601057674,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,24.061456100204055,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,24.844074007481304,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,25.605440609138217,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,26.38586313447099,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,27.163323751671204,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,27.940430044738754,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,28.716428515189218,1
