f1,f2,W,L
4.94,5.04,17.7,13.34
4.86,4.95,17.7,13.55
4.82,4.91,17.7,13.65
4.8,4.89,17.7,13.85
4.77,4.85,17.7,14.05
4.73,4.81,17.7,14.15
4.71,4.79,17.7,14.25
4.69,4.76,17.7,14.35
4.66,4.73,17.7,14.45
4.78,4.87,18.3,13.85
4.65,4.73,18.3,14.35
4.61,4.7,18.8,14.35
4.49,4.55,18.8,14.85
4.47,4.55,19.3,14.85
4.37,4.41,19.3,15.35
4.35,4.41,19.8,15.35
4.31,4.37,20.3,15.85
4.29,4.35,20.3,16.35
4.27,4.33,20.8,16.35
4.26,4.33,20.8,16.85
4.21,4.27,21.3,16.85
4.16,4.21,21.3,17.35
4.14,4.19,21.8,17.35
4.02,4.04,21.8,17.85
3.99,4.01,22.3,17.85
3.92,3.93,22.3,18.35
